case_id,solver_family,solver_version,simulation_dimensionality,forcing_period_s,forcing_amplitude_deg,simulated_cycles,end_time_s,initial_fill_fraction,liquid_density_kg_m3,liquid_kinematic_viscosity_m2_s,gas_density_kg_m3,gas_kinematic_viscosity_m2_s,surface_tension_N_m,gravity_m_s2,mesh_cells,time_integration,configured_max_courant,configured_max_interface_courant,maximum_timestep_s,pressure_probe_count,pressure_and_load_output_interval_s,qa_output_interval_s,geometry_disclosure,sectional_load_extraction
forced-medium-t24,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,24,5,9.99916666666667,239.98,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
forced-medium-t25,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,25,5,9.9992,249.98,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t10-a10,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,10,10,9.992,99.92,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t10-a2p5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,10,2.5,9.998,99.98,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t13-a10,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,13,10,9.994,129.922,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t13-a2p5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,13,2.5,9.998,129.974,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t16-a10,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,16,10,9.996,159.936,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t16-a2p5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,16,2.5,9.999,159.984,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t20-a10,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,20,10,9.998,199.96,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t20-a2p5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,20,2.5,9.999,199.98,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t23-a10,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,23,10,9.998,229.954,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t23-a2p5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,23,2.5,9.999,229.977,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t23-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,23,5,9.999,229.977,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t26-a10,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,26,10,9.999,259.974,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t26-a2p5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,26,2.5,9.999,259.974,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t40-a10,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,40,10,10,400,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
grid-t40-a2p5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,40,2.5,10,400,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
twin-conduit-a13p5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,6.2514,5,11.997,74.9980458,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
twin-conduit-a3p4,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,6.2514,5,11.997,74.9980458,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
twin-conduit-a6p8,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,6.2514,5,11.005,68.796657,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
