case_id,title,summary,study_family,evidence_depth,media_truth,representative_case_id,has_case_image,has_case_video,qa_summary,analysis_path,validation_fixture_path
fill-f70-t13-a5,"Fill check, 70 % fill at 13 s","Point check placed at the analytically predicted resonance for this fill, testing a prediction the model was not fitted to.",fill_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=fill-f70-t13-a5,/reports/sloshing/damping-and-sizing.html
fill-f70-t14p59-a10,"Fill check, 70 % fill at 14.59 s","Point check placed at the analytically predicted resonance for this fill, testing a prediction the model was not fitted to.",fill_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=fill-f70-t14p59-a10,/reports/sloshing/damping-and-sizing.html
fill-f70-t14p59-a5,"Fill check, 70 % fill at 14.59 s","Point check placed at the analytically predicted resonance for this fill, testing a prediction the model was not fitted to.",fill_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=fill-f70-t14p59-a5,/reports/sloshing/damping-and-sizing.html
fill-f70-t17-a5,"Fill check, 70 % fill at 17 s","Point check placed at the analytically predicted resonance for this fill, testing a prediction the model was not fitted to.",fill_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=fill-f70-t17-a5,/reports/sloshing/damping-and-sizing.html
forced-fine-co025-pressure-t24,24 s forced roll - fine pressure and Courant refinement,"Accepted forced-roll CFD response with complete input, QA, and response histories.",courant_refinement,detailed,case_specific,,true,true,accepted_with_reduced_courant_caveat,/reports/sloshing/analysis.html?case=forced-fine-co025-pressure-t24,/reports/sloshing/validation.html
forced-fine-co035-pressure-t24,24 s forced roll pressure and load QA,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,standard,case_specific,,true,false,accepted_with_courant_caveat,/reports/sloshing/analysis.html?case=forced-fine-co035-pressure-t24,/reports/sloshing/validation.html
forced-fine-t24,24 s forced roll - fine mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,case_specific,,true,true,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-fine-t24,/reports/sloshing/validation.html
forced-medium-sectional-t24,24 s forced roll - sectional wall loads,Case-specific left/right wall-patch loads with aggregate reconstruction.,sectional_loads,detailed,representative,forced-medium-t24,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-sectional-t24,/reports/sloshing/validation.html
forced-medium-t16,16 s forced roll - medium mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,case_specific,,true,true,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t16,/reports/sloshing/validation.html
forced-medium-t18,18 s forced roll - medium mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,representative,forced-medium-t16,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t18,/reports/sloshing/validation.html
forced-medium-t20,20 s forced roll - medium mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,representative,forced-medium-t22,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t20,/reports/sloshing/validation.html
forced-medium-t21,21 s forced roll - medium mesh,"Accepted forced-roll CFD response with complete input, QA, and response histories.",period_refinement,standard,representative,forced-medium-t22,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t21,/reports/sloshing/validation.html
forced-medium-t22,22 s forced roll - medium mesh,"Accepted forced-roll CFD response with complete input, QA, and response histories.",period_refinement,detailed,case_specific,,true,true,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t22,/reports/sloshing/validation.html
forced-medium-t23,23 s forced roll - medium mesh,"Accepted forced-roll CFD response with complete input, QA, and response histories.",period_refinement,standard,representative,forced-medium-t24,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t23,/reports/sloshing/validation.html
forced-medium-t24,24 s forced roll - medium mesh,"Accepted forced-roll CFD response with complete input, QA, and response histories.",period_refinement,detailed,case_specific,,true,true,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t24,/reports/sloshing/validation.html
forced-medium-t25,25 s forced roll - medium mesh,"Accepted forced-roll CFD response with complete input, QA, and response histories.",period_refinement,standard,representative,forced-medium-t24,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t25,/reports/sloshing/validation.html
forced-medium-t26,26 s forced roll - medium mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,case_specific,,true,true,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t26,/reports/sloshing/validation.html
grid-t10-a10,"Forced-roll grid, 10 s at 10 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_reduced,/reports/sloshing/analysis.html?case=grid-t10-a10,/reports/sloshing/damping-and-sizing.html
grid-t10-a2p5,"Forced-roll grid, 10 s at 2.5 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t10-a2p5,/reports/sloshing/damping-and-sizing.html
grid-t13-a10,"Forced-roll grid, 13 s at 10 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t13-a10,/reports/sloshing/damping-and-sizing.html
grid-t13-a2p5,"Forced-roll grid, 13 s at 2.5 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t13-a2p5,/reports/sloshing/damping-and-sizing.html
grid-t16-a10,"Forced-roll grid, 16 s at 10 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t16-a10,/reports/sloshing/damping-and-sizing.html
grid-t16-a2p5,"Forced-roll grid, 16 s at 2.5 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t16-a2p5,/reports/sloshing/damping-and-sizing.html
grid-t20-a10,"Forced-roll grid, 20 s at 10 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t20-a10,/reports/sloshing/damping-and-sizing.html
grid-t20-a2p5,"Forced-roll grid, 20 s at 2.5 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t20-a2p5,/reports/sloshing/damping-and-sizing.html
grid-t23-a10,"Forced-roll grid, 23 s at 10 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t23-a10,/reports/sloshing/damping-and-sizing.html
grid-t23-a2p5,"Forced-roll grid, 23 s at 2.5 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t23-a2p5,/reports/sloshing/damping-and-sizing.html
grid-t23-a5,"Forced-roll grid, 23 s at 5 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t23-a5,/reports/sloshing/damping-and-sizing.html
grid-t26-a10,"Forced-roll grid, 26 s at 10 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t26-a10,/reports/sloshing/damping-and-sizing.html
grid-t26-a2p5,"Forced-roll grid, 26 s at 2.5 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t26-a2p5,/reports/sloshing/damping-and-sizing.html
grid-t40-a10,"Forced-roll grid, 40 s at 10 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t40-a10,/reports/sloshing/damping-and-sizing.html
grid-t40-a2p5,"Forced-roll grid, 40 s at 2.5 deg roll","One cell of the measured period-amplitude damping surface; identical geometry, mesh and solver settings throughout.",amplitude_grid,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=grid-t40-a2p5,/reports/sloshing/damping-and-sizing.html
twin-conduit-a13p5,Conduit area 13.5 m2 - connected-tank exchange,"Cycle-converged forced-roll run varying the connecting conduit area, validating the analytical exchange scaling law.",conduit_area_sensitivity,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=twin-conduit-a13p5,/reports/sloshing/dual-connected-tanks.html
twin-conduit-a3p4,Conduit area 3.4 m2 - connected-tank exchange,"Cycle-converged forced-roll run varying the connecting conduit area, validating the analytical exchange scaling law.",conduit_area_sensitivity,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=twin-conduit-a3p4,/reports/sloshing/dual-connected-tanks.html
twin-conduit-a6p8,Conduit area 6.8 m2 - connected-tank exchange,"Cycle-converged forced-roll run varying the connecting conduit area, validating the analytical exchange scaling law.",conduit_area_sensitivity,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=twin-conduit-a6p8,/reports/sloshing/dual-connected-tanks.html
