SurfaceLongitude,SurfaceLatitude,BottomHoleLongitude,BottomHoleLatitude,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month,rowID
-102.2474435,32.21565084,-102.2474435,32.21565084,FANG,8/26/2017,SPRABERRY MIDDLE,8822.0000,1793.0000,47.0000,2000.0000,2000.0000,500.0000,500.0000,4366.1840,,5127.9840,0.0530,1671.8132,0.7940,,2.7465,0.2040,0.1140,0.8140,5.0080,185426.0000,25
-102.2185848,32.20738156,-102.2185844,32.20707891,OXY,6/29/2015,WOLFCAMP A,9375.0000,1339.0000,35.0000,1304.9610,1244.7580,61.4310,87.1970,5596.3970,,18088.9210,0.0600,2844.6918,0.3090,0.0170,2.9766,0.2160,0.1730,0.7750,5.4098,199137.9844,26
-102.2363836,32.22218305,-102.2362936,32.22217817,OXY,9/26/2015,WOLFCAMP A,9378.0000,1339.0000,37.0000,1480.0010,1393.7200,58.9360,30.6740,5509.2000,,16149.8130,0.0620,2638.6813,0.3920,0.0170,2.9699,0.2270,0.1100,0.7750,5.4184,351472.0625,27
-102.2168834,32.23050305,-102.2194443,32.22951381,OXY,7/13/2015,WOLFCAMP A,9333.0000,1358.0000,38.0000,2000.0000,2000.0000,500.0000,500.0000,5162.9200,,16629.1540,0.0430,2922.9451,0.3580,0.0240,2.4797,0.1740,0.2440,0.7170,5.3722,106633.0000,28
-102.2168834,32.23050305,-102.2195917,32.22957607,SABLE,5/21/2013,WOLFCAMP B,6662.0000,753.0000,22.0000,1212.0020,1007.4990,500.0000,274.4760,4429.1860,547.6300,12564.2090,0.0700,2294.8654,0.7250,0.0110,2.8583,0.2090,0.2370,0.9110,3.4893,78002.0078,29
-102.2253822,32.24369084,-102.2254536,32.24375101,APA,11/8/2018,WOLFCAMP A,7739.0000,1669.0000,46.0000,456.5770,456.5770,500.0000,274.3600,5364.7450,,31416.0600,0.0610,2985.6283,0.3720,0.0160,2.7597,0.2090,0.2930,0.9300,4.1526,59416.5273,30
-102.2286856,32.25430363,-102.2286363,32.2542727,APA,11/3/2018,WOLFCAMP B,7645.0000,1656.0000,47.0000,450.1820,728.5580,500.0000,274.3600,5639.1050,490.2250,23700.9550,0.0710,3560.1202,0.5880,0.0150,2.9132,0.1930,0.2530,0.9290,4.1554,167176.4688,31
-102.47439,32.42842334,-102.4745209,32.42847889,PXD,4/18/2015,WOLFCAMP B,9746.0000,998.0000,18.0000,710.2930,768.9300,500.0000,49.3490,5911.6410,476.4710,20905.8090,0.0670,3423.4877,0.5840,0.0120,2.9594,0.1950,0.2640,0.9380,4.6608,117015.4453,32
-102.4162936,32.4826047,-102.4164513,32.48263451,PXD,10/15/2015,WOLFCAMP B,9422.0000,1354.0000,42.0000,384.5230,769.2110,293.7090,356.5970,6317.5870,476.4810,9559.6780,0.0600,4417.7148,0.7910,0.0120,3.2004,0.1990,0.2930,0.9380,5.6164,78139.5078,33
-102.2229868,32.21162363,-102.2230466,32.21158154,PXD,4/19/2015,WOLFCAMP B,9746.0000,972.0000,17.0000,744.4430,564.1860,38.7450,28.1410,5960.9900,476.4810,12983.6340,0.0660,3608.1841,0.7340,0.0120,2.7780,0.1860,0.2890,0.9380,4.6235,70433.8125,34
-102.241785,32.23988373,-102.2418185,32.24002647,PXD,10/27/2015,WOLFCAMP B,9786.0000,1490.0000,40.0000,718.4350,731.4860,14.2670,0.3940,5932.8490,476.4810,14483.2660,0.0610,3528.5758,0.6840,0.0150,2.8223,0.1820,0.2910,0.9380,5.8921,102265.4609,35
-102.2873005,32.24707982,-102.2873005,32.24707982,PXD,10/28/2015,WOLFCAMP B,9722.0000,1501.0000,41.0000,844.9300,781.4570,500.0000,239.2980,5932.4550,478.1690,13337.5980,0.0600,3508.1920,0.7030,0.0150,2.7298,0.1830,0.2930,0.9380,5.8996,193705.1875,36
-102.236788,32.21639218,-102.236786,32.21641742,PXD,8/1/2017,WOLFCAMP B,9758.0000,1827.0000,55.0000,889.1970,889.1970,9.1040,9.1040,6066.7180,487.0380,16794.3790,0.0620,3828.7826,0.6660,0.0080,2.6125,0.1970,0.2890,0.9320,6.7361,233913.3594,37
-102.250284,32.21665163,-102.2505374,32.21658887,PXD,7/29/2017,WOLFCAMP B,9908.0000,1813.0000,55.0000,772.9410,772.9410,9.1040,9.1040,6075.8220,487.0380,17321.6430,0.0590,4068.3242,0.6300,0.0100,2.6731,0.1930,0.2900,0.9320,6.7995,161121.4063,38
-102.4000832,32.14518189,-102.3999907,32.14519068,PXD,8/7/2017,WOLFCAMP B,9834.0000,1829.0000,56.0000,773.0040,773.0040,9.1080,9.1080,6066.7150,487.9780,17940.0990,0.0580,4034.5980,0.6110,0.0100,2.5676,0.1890,0.3020,0.9320,6.7892,170829.9063,39
-102.2757948,32.4594789,-102.2753676,32.45993781,PXD,8/18/2017,WOLFCAMP B,9907.0000,1739.0000,52.0000,727.7260,727.7260,26.7000,26.7000,6012.7700,487.9780,12679.9550,0.0620,3578.4416,0.7440,0.0110,2.4714,0.1930,0.2950,0.9320,6.6263,178910.0625,40
-102.2429814,32.28643781,-102.2429814,32.28643781,PXD,8/29/2017,WOLFCAMP B,8072.0000,1708.0000,59.0000,727.8340,727.8340,26.7000,26.7000,6039.4690,487.9780,17465.9760,0.0590,3992.3159,0.6310,0.0110,2.5698,0.1900,0.2950,0.9320,5.6421,159369.7656,41
-102.405683,32.15046159,-102.4055159,32.15039444,ENDVR,2/19/2018,WOLFCAMP B,9780.0000,1616.0000,44.0000,177.6150,177.6150,336.5920,336.5920,6031.2770,470.9340,18149.3340,0.0630,3363.7761,0.6360,0.0180,2.8409,0.1760,0.2910,0.9400,5.5998,129814.3750,42
-102.3738618,32.14704104,-102.3738618,32.14704104,ENDVR,2/19/2018,WOLFCAMP B,9586.0000,1596.0000,43.0000,176.8650,176.8650,56.4970,56.4970,6367.8690,470.9340,16568.5010,0.0670,3927.0406,0.6730,0.0180,4.9137,0.2060,0.2480,0.9400,5.5327,90905.6250,43
-102.3742813,32.14719983,-102.3738618,32.14704104,SURGE,10/14/2016,WOLFCAMP A,10022.0000,1886.0000,36.0000,2000.0000,230.2600,25.3840,500.0000,5406.9840,,23225.0760,0.0630,2581.3273,0.2960,0.0160,2.9259,0.2290,0.1170,0.8300,5.3059,317803.9375,44
-102.4327444,32.21070686,-102.4327443,32.21070686,SURGE,11/4/2016,WOLFCAMP A,10022.0000,1880.0000,36.0000,2000.0000,1191.9560,197.1890,500.0000,5392.4920,,21620.4190,0.0510,2843.6976,0.2040,0.0150,2.4772,0.2050,0.2180,0.8290,5.2935,204243.7969,45
-102.2233521,32.20460946,-102.2233521,32.20460946,SURGE,4/7/2017,SPRABERRY LOWER SHALE,9936.0000,2113.0000,44.0000,2000.0000,1009.8490,4.7930,500.0000,4953.7760,,22750.3800,0.0570,2442.9562,0.4520,0.0140,2.1550,0.2390,0.1120,0.8290,5.6123,190330.0000,46
-102.4452861,32.15505094,-102.4448992,32.15503461,COP,8/21/2014,WOLFCAMP A,5041.0000,2494.0000,56.0000,2000.0000,2000.0000,500.0000,500.0000,6225.9600,,30637.0680,0.0510,4006.0868,0.2670,0.0220,2.2119,0.1660,0.3630,0.9050,3.9060,103800.6719,47
-102.3777179,32.17231913,-102.3777179,32.17231913,COP,7/21/2012,WOLFCAMP B,2103.0000,,38.0000,2000.0000,2000.0000,500.0000,500.0000,6462.1730,440.8990,14816.0760,0.0430,4252.8181,0.6330,0.0230,2.1654,0.1350,0.4000,0.9070,2.0376,46459.1328,48
-102.3770811,32.17249196,-102.3777179,32.17231913,COP,5/25/2015,WOLFCAMP C,5010.0000,1677.0000,38.0000,2000.0000,2000.0000,500.0000,500.0000,6761.5960,,13119.6245,0.0480,4206.5382,0.6800,,2.2164,0.1660,0.3320,0.9080,3.3172,73832.0000,49
-102.4295421,32.50535625,-102.4295421,32.50535625,COP,7/22/2015,WOLFCAMP B,5030.0000,2228.0000,60.0000,651.1880,861.9900,18.7820,6.3010,6479.9290,426.4570,14860.1390,0.0400,4315.5995,0.5570,0.0200,2.1115,0.1370,0.3970,0.9100,3.8076,68317.2344,50
-102.3102802,32.14814186,-102.3101321,32.14796524,COP,11/16/2014,WOLFCAMP B,5058.0000,1720.0000,41.0000,2000.0000,1032.1130,48.8180,500.0000,6535.0480,423.5070,10729.6580,0.0370,3936.2258,0.6510,0.0170,1.8418,0.1270,0.4470,0.9090,3.3572,72743.0000,51
-102.4303788,32.1341,-102.4297512,32.13407039,COP,7/22/2015,WOLFCAMP B,5000.0000,2241.0000,62.0000,1030.0320,840.4390,27.5600,48.8180,6486.2300,423.5070,15846.2710,0.0440,4061.7768,0.5380,0.0200,2.0811,0.1370,0.4040,0.9090,3.8193,90315.0000,52
-102.4297512,32.13407039,-102.4297512,32.13407039,COP,3/23/2015,WOLFCAMP B,5033.0000,1640.0000,43.0000,2000.0000,2000.0000,500.0000,500.0000,6593.1310,409.3660,9543.0950,0.0350,4372.0217,0.5260,0.0230,1.5277,0.1290,0.4440,0.9000,3.3263,62189.7188,53
-102.3053822,32.14646333,-102.3051772,32.14630248,COP,7/12/2019,WOLFCAMP B,10373.0000,1860.0000,40.0000,651.6990,651.6990,0.2320,0.2320,6692.8030,428.3860,19848.3090,0.0540,4406.9778,0.4860,0.0040,3.0816,0.1760,0.2640,0.9110,5.8434,295566.1563,54
-102.2990805,32.15465369,-102.2991234,32.15460928,OXY,1/1/2017,WOLFCAMP A,9152.0000,1961.0000,64.0000,2000.0000,862.7900,286.8750,500.0000,5733.3960,,30646.0910,0.0570,3761.1205,0.3230,0.0120,2.4510,0.1880,0.3470,0.9390,6.6481,84097.0000,55
-102.4242831,32.1280993,-102.4240409,32.1277596,OXY,1/3/2017,WOLFCAMP B,9301.0000,1752.0000,68.0000,2000.0000,840.4880,242.0160,500.0000,6262.2870,479.0090,14394.9140,0.0630,3780.2906,0.7280,0.0130,4.7306,0.1970,0.2680,0.9390,6.6307,166260.0000,56
-102.3362804,32.14613155,-102.336013,32.1466579,OXY,9/9/2017,WOLFCAMP A,9551.0000,1644.0000,56.0000,888.6060,516.5830,81.8450,85.3100,5655.0160,,33589.2070,0.0610,3516.1831,0.3090,0.0120,2.5437,0.1920,0.3100,0.9390,6.2854,145873.0000,57
-102.3017813,32.14701265,-102.3015786,32.14685468,OXY,9/7/2017,WOLFCAMP B,10021.0000,1168.0000,51.0000,144.5190,492.5970,326.0650,365.2540,6020.2700,476.8040,24373.0670,0.0740,3122.0535,0.6060,0.0130,2.7228,0.1870,0.2570,0.9390,5.8142,107950.0000,58
-102.3015786,32.14685468,-102.3015786,32.14685468,OXY,9/8/2017,WOLFCAMP A,9955.0000,1667.0000,57.0000,728.1770,728.1770,85.3100,85.3100,5740.3260,,26084.7130,0.0530,3806.4546,0.3740,0.0140,2.3576,0.1850,0.3640,0.9380,6.5503,182509.0156,59
-102.3635851,32.17722989,-102.3631236,32.17717641,OXY,9/8/2017,WOLFCAMP B,9780.0000,1780.0000,52.0000,,,,,6061.6011,476.8040,16047.1040,0.0740,3468.5711,0.7220,0.0130,2.4825,0.2280,0.1890,0.9380,6.6115,117376.0000,60
-102.3538758,32.51294378,-102.353778,32.51293418,ENDVR,4/30/2018,WOLFCAMP B,10216.0000,1598.0000,39.0000,223.5220,223.5220,500.0000,209.0060,6557.4390,287.6480,6681.6430,0.0670,3883.7905,0.7570,0.0150,3.1208,0.1930,0.1720,0.8150,5.7745,104092.5547,61
-102.3538944,32.51294738,-102.353778,32.51293418,ENDVR,4/27/2018,WOLFCAMP A,10195.0000,1594.0000,,223.6930,223.6930,209.0060,209.0060,6348.4330,,14686.6990,0.0540,3633.6940,0.4890,0.0140,2.4326,0.1980,0.2820,0.8150,5.8077,183989.4375,62
-102.4603904,32.44476588,-102.4605959,32.44487477,GUIDON,12/19/2018,SPRABERRY LOWER SHALE,8211.0000,2516.0000,61.0000,332.2610,303.8480,214.8850,218.5460,6534.1410,,22629.6960,0.0590,3269.2292,0.5070,0.0130,2.7398,0.2210,0.1470,0.8950,7.2615,136757.1250,63
-102.4478938,32.44186659,-102.448078,32.44174314,FANG,11/1/2014,WOLFCAMP A,7727.0000,,,834.7600,451.8630,24.4770,28.1030,4716.3360,,25340.3380,0.0630,2960.5111,0.2840,0.0240,2.7573,0.2100,0.2540,0.8160,3.7450,102194.4844,64
-102.4420877,32.45637331,-102.4420877,32.45637331,FANG,11/22/2014,WOLFCAMP B,4524.0000,142.0000,6.0000,69.0070,69.0070,295.5070,90.0440,5011.8430,431.6940,14161.8308,0.0600,2347.4895,0.6390,0.0220,2.3694,0.2150,0.1890,0.8200,1.7327,22599.5176,65
-102.4419888,32.45662602,-102.4420877,32.45637331,FANG,2/18/2016,WOLFCAMP A,7673.0000,1643.0000,42.0000,840.1290,838.0830,26.3320,24.5600,4744.4390,,18968.4310,0.0530,2881.1562,0.3440,0.0240,2.5681,0.2050,0.2790,0.8140,4.2946,87617.0000,66
-102.4463909,32.43511439,-102.4464974,32.43488706,FANG,2/29/2016,WOLFCAMP A,7724.0000,1673.0000,43.0000,842.0760,842.0760,5.6140,5.6140,4719.8790,,20173.5790,0.0540,3002.3947,0.3340,0.0240,2.5774,0.2060,0.2700,0.8120,4.3610,109771.0000,67
-102.2496813,32.21516386,-102.2495919,32.21470252,FANG,1/6/2016,WOLFCAMP A,7563.0000,1619.0000,42.0000,899.7940,899.7940,5.6140,5.6140,4714.2650,,17528.4990,0.0500,2801.1505,0.3630,0.0240,2.4905,0.2030,0.2830,0.8090,4.2200,111107.0000,68
-102.2439619,32.22424116,-102.2439619,32.22424116,FANG,12/31/2015,WOLFCAMP A,7239.0000,,,603.0610,40.3590,73.0580,2.4030,4641.2080,,23148.5060,0.0600,2713.8682,0.3170,0.0210,2.6993,0.2050,0.2560,0.8070,3.4055,107213.0000,69
-102.2438831,32.22424306,-102.2439619,32.22424116,FANG,5/17/2017,WOLFCAMP B,7066.0000,1770.0000,53.0000,301.8010,301.8010,231.1380,231.1380,4871.1430,423.6800,15948.2390,0.0630,2839.7330,0.6050,0.0240,2.5045,0.1880,0.2450,0.8070,4.2997,38890.0352,70
-102.2439619,32.22424116,-102.2439619,32.22424116,FANG,12/31/2015,WOLFCAMP A,7471.0000,,,810.5310,307.5520,221.7470,7.0270,4638.8050,,21973.0170,0.0570,2788.3356,0.3190,0.0210,2.6628,0.2030,0.2660,0.8050,3.4982,61980.9961,71
-102.4258849,32.19005928,-102.4249597,32.19027468,FANG,4/28/2017,WOLFCAMP B,7666.0000,1709.0000,51.0000,401.7170,401.7170,207.6410,207.6410,4849.9590,433.6740,15886.8525,0.0600,2778.7243,0.5850,0.0240,2.5017,0.1850,0.2510,0.8070,4.4981,20750.2109,72
-102.4688894,32.43724313,-102.4691486,32.4372292,SURGE,11/14/2018,WOLFCAMP A,9661.0000,2096.0000,40.0000,1429.7650,1043.9470,12.6130,19.1580,4934.3920,,16374.7870,0.0510,2562.1208,0.3610,0.0210,2.5073,0.2000,0.2400,0.8190,5.4137,181170.0000,73
-102.4028702,32.45246127,-102.4028702,32.45246127,COP,2/14/2018,WOLFCAMP A,10481.0000,,51.0000,1154.8270,1154.8270,66.7630,66.7630,6741.1760,,22161.6540,0.0490,4331.4546,0.3580,0.0110,2.3758,0.1890,0.3150,0.9660,6.4241,165509.0000,74
-102.2127865,32.22793187,-102.2147396,32.22658525,COP,2/14/2018,SPRABERRY LOWER SHALE,10446.0000,,55.0000,1007.2240,657.7310,75.0870,55.6020,6192.2280,,28998.3310,0.0550,2472.7205,0.3840,0.0110,2.7539,0.2310,0.1260,0.9660,6.6195,262082.0000,75
-102.3932918,32.44547519,-102.3937893,32.44541005,LARIO,12/26/2019,WOLFCAMP A,9815.0000,,47.0000,651.5220,651.5220,34.1920,34.1920,6381.3920,,,0.0730,,,0.0170,,0.2770,0.1750,0.7220,5.5899,118874.0000,76
-102.4517858,32.22317946,-102.4515353,32.22311925,LARIO,9/25/2018,WOLFCAMP B,9820.0000,1951.0000,52.0000,2000.0000,2000.0000,500.0000,500.0000,6702.3120,175.5730,6940.9370,0.0640,4649.8602,0.7040,0.0110,3.1914,0.1930,0.2140,0.7180,5.8520,36130.0000,77
-102.3332821,32.15081993,-102.3332579,32.1508217,CVX,11/28/2016,WOLFCAMP B,7762.0000,2000.0000,46.0000,1321.6610,1154.8200,3.5520,2.5040,6782.9510,312.2400,11380.9750,0.0360,4252.4932,0.4950,0.0100,2.2357,0.1590,0.3650,0.9610,4.5131,150094.0000,78
-102.2332678,32.42485344,-102.2332678,32.42485344,CVX,11/21/2016,WOLFCAMP B,7921.0000,2019.0000,46.0000,987.1050,987.1050,4.5990,4.5990,6787.5500,312.2400,10070.8520,0.0390,4318.1353,0.5390,0.0100,2.2605,0.1600,0.3650,0.9620,4.5977,155024.0000,79
-102.362096,32.46556762,-102.3617351,32.46584207,CVX,11/27/2016,WOLFCAMP B,7722.0000,2015.0000,46.0000,756.3280,756.3280,23.6980,23.6980,6763.8520,325.0990,14364.0340,0.0390,4381.1415,0.5290,0.0130,2.2031,0.1650,0.3600,0.9630,4.5063,113096.0000,80
-102.3995937,32.40057505,-102.3995905,32.40057259,CVX,3/5/2017,WOLFCAMP B,7522.0000,2110.0000,48.0000,877.2610,415.5730,13.7860,13.7860,6882.5730,325.0990,10736.9430,0.0440,3930.9246,0.4660,0.0060,2.3990,0.1650,0.3150,0.9650,4.5444,137568.0000,81
-102.3542915,32.44105752,-102.3547471,32.44101289,CVX,3/5/2017,WOLFCAMP B,7522.0000,2022.0000,46.0000,878.9020,623.0100,148.6600,47.4080,6835.1650,346.5990,10311.1020,0.0480,3969.8662,0.5360,0.0060,2.6233,0.1590,0.3070,0.9650,4.4407,93950.0000,82
-102.3248887,32.43277931,-102.3252769,32.43287558,CVX,10/19/2019,SPRABERRY LOWER SHALE,7894.0000,1542.0000,39.0000,442.3360,442.3360,201.8770,201.8770,6017.5300,,19506.5150,0.0560,2783.6485,0.5870,0.0030,1.9911,0.2480,0.1520,0.9650,4.0152,130387.0000,83
-102.2379786,32.11608203,-102.2381654,32.11613794,FANG,2/10/2017,SPRABERRY LOWER SHALE,9761.0000,1598.0000,36.0000,636.3150,335.9260,186.2900,91.0250,5189.7430,,18746.4080,0.0570,2536.5271,0.5430,0.0140,2.2595,0.2240,0.1490,0.8500,5.1250,228920.0156,84
-102.3461893,32.43163876,-102.3461851,32.43163072,FANG,2/11/2017,WOLFCAMP A,9721.0000,1603.0000,35.0000,35.4690,35.4690,248.5860,248.5860,5471.2980,,21029.5990,0.0660,2699.8091,0.4150,0.0120,2.8049,0.2250,0.1070,0.8530,5.1604,246973.0000,85
-102.3338911,32.43126868,-102.3338362,32.43151577,FANG,2/16/2017,WOLFCAMP B,9741.0000,1550.0000,37.0000,304.0660,316.7170,266.4130,248.5860,5719.8840,222.9570,9164.4910,0.0510,3516.2088,0.6120,0.0150,2.7800,0.1930,0.1900,0.8500,5.1412,190599.0000,86
-102.3509956,32.45679736,-102.3507772,32.45720361,PXD,2/8/2016,WOLFCAMP A,7667.0000,1764.0000,45.0000,313.7180,313.7180,321.7120,321.7120,6579.6820,,17525.9170,0.0410,4219.4942,0.4250,0.0120,2.2867,0.1590,0.3850,0.9340,5.3875,219197.0000,87
-102.2910853,32.11479281,-102.2910268,32.11478159,PXD,10/10/2016,WOLFCAMP B,10479.0000,1847.0000,57.0000,664.4200,664.4200,32.2930,32.2930,6918.6640,407.0600,17151.0520,0.0520,4624.4296,0.5310,0.0140,4.5029,0.1590,0.3090,0.9330,7.4209,199524.0000,88
